id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
406377,CADAQU√âS (GIRONA). LOFT ‚ÄúHORTA IV‚Äù,2005696,Nieves,,Cadaqués ,42.28982,3.28278,Entire home/apt,68,3,66,9/18/21,0.57,6,361,6,HUTB-001167
406398,CASA ‚ÄúHORTA V‚Äù. CADAQU√âS,2005696,Nieves,,Cadaqués ,42.28862,3.2818,Entire home/apt,90,3,27,8/31/21,0.23,6,363,6,HUTB-001168
419252,"Near Beaches, Golf: Spacious Medieval Village Home",1030877,Kristen,,"Cruïlles, Monells i Sant Sadurní de l'Heura",41.95508,3.01053,Entire home/apt,94,3,48,10/11/21,0.42,2,344,8,HUTG-021814
424026,Attractive apartment in Costa Brava,1298586,Kristjan Y Ana,,Tossa de Mar,41.72036,2.93164,Entire home/apt,105,2,28,8/31/21,0.31,107,10,2,HUTG-011072
438243,Beautiful house in Empordà Girona,2176453,Esther,,Maçanet de Cabrenys,42.38423,2.74583,Entire home/apt,307,3,7,8/21/21,0.1,1,89,1,HUTG-015655-08
438245,"Apartment 4 pax, 150 m from Sea",2176194,Roger,,L'Escala,42.12189,3.13551,Entire home/apt,140,4,66,8/29/21,0.58,1,357,9,HUTB-020267
440360,STAY AND DISCOVER THIS PARADISE,2188004,Hotel Rural,,La Cellera de Ter,41.98728,2.61517,Private room,113,1,0,,,5,365,0,
443464,House for group St Jaume de Llierca,1835625,Georgina,,Sant Jaume de Llierca,42.21376,2.60929,Entire home/apt,157,1,44,12/5/21,0.84,2,359,14,HUTG-010126
456269,"Apartment w terrace, quiet street!",971768,Akira,,Cadaqués ,42.28877,3.27329,Entire home/apt,83,1,27,7/31/19,0.24,4,91,0,HUTG-022319
457966,Estudio a 100m del mar,2276585,Nuria,,Palamós,41.85023,3.1294,Entire home/apt,44,7,72,9/3/19,0.63,1,358,0,
459611,Sea view apartment with big terrace,2281859,Gary,,Sant Feliu de Guíxols,41.79393,3.02312,Entire home/apt,67,2,56,8/17/20,0.49,1,1,0,HUTG-18495
474284,"Cap Bonifaci Barca, beach @ 20 m",1990392,Enric,,Roses,42.2443,3.19868,Entire home/apt,200,7,8,8/20/21,0.08,2,363,3,HUTG-017359
478912,Charming house by the sea Cadaqués ,2372082,María & Rafa,,Cadaqués ,42.2869,3.29015,Entire home/apt,400,7,33,7/23/17,0.29,1,357,0,HUTG-011565
479972,BEAUTIFUL HOUSE in TOSSA DE MAR,1298586,Kristjan Y Ana,,Tossa de Mar,41.71809,2.92824,Entire home/apt,175,2,14,8/6/21,0.12,107,215,2,HUTG-011068
484066,APARTMENT SEA VIEWS in COSTA BRAVA,1298586,Kristjan Y Ana,,Tossa de Mar,41.71765,2.92868,Entire home/apt,203,2,52,8/28/21,0.51,107,361,6,HUTG-011070
488990,Quiet family apartment in Cadaques!,971768,Akira,,Cadaqués ,42.28872,3.27343,Entire home/apt,75,1,13,10/8/17,0.11,4,60,0,HUTG-022319
503130,Flat to rent  Playa de Aro 2-4 pax,2481958,Severine,,Castell-Platja d'Aro,41.8266,3.07281,Entire home/apt,80,7,2,6/25/17,0.04,3,100,0,HUTG-025976
506095,SPAIN ST. ANTONI CALONGE  APARTMENT FRONTLINE,2494825,Maria LL,,Calonge,41.8428,3.09653,Entire home/apt,96,2,4,7/31/21,0.03,1,178,3,HUTG-055345
509124,Top-floor Apartment / Attic & pool,2509252,Montaber,,Alp,42.37319,1.88685,Entire home/apt,135,2,41,10/3/21,0.44,1,346,6,
514221,Confortable apartment in Cadaqués ,2499378,Montse,,Cadaqués ,42.28954,3.27455,Entire home/apt,110,5,22,10/29/21,0.19,1,177,3,HUTG-001170
516474,CAMA EN UNA CASA DE COSTA BRAVA 2,1989406,Mari,,Begur,41.95667,3.2074,Private room,65,2,56,8/21/20,0.56,2,0,0,
520236,"Lloret de Mar, 5 min to the beach!",1835600,Alexander,,Lloret de Mar,41.70244,2.84823,Entire home/apt,57,2,59,12/8/21,0.51,1,118,6,
520607,El Badiu d'Alemanys 5,2561441,Joan Manuel,,Girona,41.98658,2.82757,Entire home/apt,300,5,14,12/29/21,0.17,3,239,2,HUTG-014776
520743,"Can Roure, la Fageda den Jord√°",2541570,Eugeni,,Santa Pau,42.14435,2.5005,Entire home/apt,110,2,239,7/30/21,2.09,1,20,3,HUTG 15659
527021,Front Row View of Roses Bay,2324496,Franck,,Roses,42.24725,3.18247,Entire home/apt,76,3,117,11/7/21,1.13,1,22,14,HUTG-016278
528521,Casa Rab√≤s beautiful country house!,2596794,Natacha,,Rabós,42.37816,3.0275,Entire home/apt,178,2,50,12/6/21,0.48,3,329,9,HUTG-021835
528549,The sea at your feet in Cadaquès,2596935,Marion,,Cadaqués ,42.27857,3.2768,Entire home/apt,400,4,19,12/16/21,0.19,1,260,5,
533779,Cozy apartment with big terrace in S'Agaró,2623666,Elisabet,,Castell-Platja d'Aro,41.7995,3.05092,Entire home/apt,85,4,35,8/24/21,0.3,1,259,1,HUTG-019065
534034,"Apartment Villa Mezzanine, Canyelles Beach",2509034,Melanie,,Lloret de Mar,41.70604,2.87819,Entire home/apt,150,7,12,9/1/18,0.1,2,365,0,HUTG-008426
537046,Charming house in Costa Brava,2637736,Ana,,Castell-Platja d'Aro,41.829,3.07599,Entire home/apt,108,2,25,8/21/19,0.22,1,364,0,HUTG-025631
538802,"Un espacio agradable, amplio y cerca de la PLAYA",2468919,Júlia,,Portbou,42.42672,3.15992,Private room,29,2,115,10/18/21,1.01,1,154,10,
539975,"Unique cosy holiday paradise, in nature!",1506816,Jacqueline & Xavi,,Vidreres,41.77918,2.84589,Entire home/apt,151,2,90,12/19/21,0.78,1,175,17,HUTG-046087
541344,Beautiful Villa Mare Llafranc,2161783,Pepe,,Palafrugell,41.89455,3.1935,Entire home/apt,549,5,26,9/12/21,0.25,1,287,1,HUTG-012351
549163,Casa con piscina en la Costa Brava,2699942,Francesca,,Tossa de Mar,41.71912,2.90761,Entire home/apt,139,7,4,8/7/21,0.1,1,362,1,HUTG-003850
